"id","repo_fullname","commits_count","commits_days_since_first","commits_days_since_last","commits_total_lines_added","commits_total_lines_removed","commits_avg_added","commits_avg_removed","commits_avg_files_changed","commits_avg_message_length","commits_avg_per_day","commits_avg_per_day_real","commits_max_per_day","contributors_count","contributors_top_avg_commits","contributors_top_avg_participation_week","contributors_top_avg_additions","contributors_top_avg_deletions","forks_count","forks_avg_per_day","forks_avg_max_per_day","issues_total_comments","issues_count","issues_open","issues_labels","issues_avg_labels","issues_avg_closing_time","issues_avg_comment_time","issues_avg_comments","issues_avg_comment_length","issues_avg_title_length","issues_avg_body_length","issues_avg_per_day","issues_avg_per_day_real","issues_max_per_day","repo_size","repo_topics","repo_branches","repo_age_days","repo_workflows","repo_languages","repo_milestones","repo_watchers","repo_deployments","repo_readme_length","repo_network_members","pulls_count","pulls_total_lines_added","pulls_total_lines_removed","pulls_avg_lines_added","pulls_avg_lines_removed","pulls_avg_closing_time","pulls_avg_comments","pulls_avg_review_comments","pulls_avg_Commits","pulls_avg_body_length","pulls_avg_title_length","pulls_avg_files_changed","pulls_avg_labels","pulls_avg_created_per_day","pulls_avg_created_per_day_real","pulls_max_created_per_day","releases_count","releases_tags","releases_total_downloads","releases_avg_body_length","releases_avg_title_length","releases_avg_assets","releases_avg_assets_downloads","releases_avg_assets_size","releases_avg_downloads_per_day","stars_count","stars_avg_per_day_real","stars_max_per_day","wf_count","wf_avg_duration","wf_avg_success_duration","wf_avg_failure_duration","wf_avg_successes_per_day","wf_avg_successes_per_day_real","wf_avg_fails_per_day","created_at","updated_at"
943,"Azure-Samples/storage-dotnet-rest-api-with-auth",18,1836,950,1040,94,58,5,2,42,NULL,3,4,4,3,1,55,4,28,0,2,7,18,11,0,0,0,0,0,169,37,347,0,1,4,17,0,2,1836,0,1,0,26,0,515,28,5,8,8,1,1,0,0,0,1,333,43,1,0,0,1,2,0,0,0,0,0,0,0,0,NULL,26,1,2,0,0,0,0,0,0,0,"2022-03-27 10:11:41.485734","2022-03-27 10:11:41.485734"
944,"F4IF/ctree-demo",48,1846,618,17874,6351,372,132,6,49,NULL,2,5,3,12,7,320,83,23,0,2,199,150,61,344,2,0,0,1,211,30,328,0,2,27,1765,20,14,1846,0,2,4,33,0,14385,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,33,1,4,0,0,0,0,0,0,0,"2022-03-27 10:11:56.772649","2022-03-27 10:11:56.772649"
945,"Azure-Samples/multicontainerwordpress",32,1410,510,1335,227,42,7,1,33,NULL,3,11,7,3,1,46,5,75,0,1,11,13,3,0,0,0,0,0,164,39,896,0,1,3,28,0,2,1410,0,2,0,33,0,1809,75,1,1,0,1,0,0,0,0,1,641,20,1,0,0,1,1,4,4,414,0,68,1,103,8799,NULL,33,1,1,0,0,0,0,0,0,0,"2022-03-27 10:12:10.824372","2022-03-27 10:12:10.824372"
946,"MicrosoftDocs/nav-content.en-gb",34,1739,115,54688,7632,1608,224,41,44,NULL,1,2,7,4,3,1608,224,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6711,0,6,1739,0,2,0,2,0,12751,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-27 10:12:44.560791","2022-03-27 10:12:44.560791"
947,"microsoftgraph/msgraph-training-dotnet-core.ja-JP",15,906,51,1832,808,122,54,5,23,NULL,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,4,906,0,0,0,1,0,1370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,1,1,1,0,0,0,0,0,0,0,"2022-03-27 10:13:01.207249","2022-03-27 10:13:01.207249"
948,"Azure-Samples/network-dotnet-manage-virtual-network-to-virtual-network-vpn-connection",17,1634,433,39845,4021,2344,237,8,17,NULL,1,2,7,2,2,2343,236,3,0,1,0,1,1,1,1,0,0,0,0,75,2202,0,1,1,28130,0,2,1642,0,7,0,2,0,2175,3,1,1,1,1,1,0,0,0,1,2202,75,1,1,0,1,1,4,4,298,0,57,1,74,28306705,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-27 10:13:11.597395","2022-03-27 10:13:11.597395"
949,"Azure-Samples/sql-database-dotnet-manage-sql-virtual-network-rules",3,803,433,35735,6,11912,2,32,16,NULL,1,1,2,1,1,11911,2,0,0,0,0,1,1,1,1,0,0,0,0,75,2529,0,1,1,27570,0,2,804,0,7,0,0,0,1703,0,1,1,1,1,1,0,0,0,1,2529,75,1,1,0,1,1,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-27 10:13:20.289114","2022-03-27 10:13:20.289114"
950,"MicrosoftDocs/Dynamics-365-Operations.da-dk",2118,1859,2,3756511,2643543,1774,1248,49,35,NULL,4,36,0,0,0,0,0,6,0,2,32,30,0,0,0,0,0,1,35032,40,58,0,1,2,112934,0,8,1859,0,1,0,2,0,379,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-27 10:27:34.961674","2022-03-27 10:27:34.961674"
951,"KristineK/selenium_java_basic",11,1699,332,2817,306,256,28,15,19,NULL,2,4,0,0,0,0,0,35,0,8,0,6,0,0,0,0,0,0,0,15,0,0,1,1,75437,0,1,1699,0,2,0,5,0,3670,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,5,1,2,0,0,0,0,0,0,0,"2022-03-27 10:27:43.861776","2022-03-27 10:27:43.861776"
952,"Azure/azure-functions-servicebus-extension",654,2886,45,46162,24024,71,37,6,71,NULL,3,12,23,12,7,112,83,31,0,2,768,178,67,106,0,0,0,4,447,59,1161,0,1,4,517,0,8,1013,0,1,59,51,0,1080,31,5,610,118,122,23,0,0,3,1,212,53,6,0,0,1,1,9,9,21,287,51,0,7,67619,NULL,51,1,2,0,0,0,0,0,0,0,"2022-03-27 10:31:07.281146","2022-03-27 10:31:07.281146"
953,"codepath/android_guides",62,3203,239,188,71,3,1,2,32,NULL,2,4,8,5,3,4,2,6393,1,34,789,393,158,142,0,0,0,2,337,38,505,0,1,4,1100,5,1,3203,0,0,1,27700,0,5366,6469,3,4,1,1,0,0,1,0,2,36,25,1,0,0,1,1,0,0,0,0,0,0,0,0,NULL,27699,9,675,0,0,0,0,0,0,0,"2022-03-27 10:38:34.068437","2022-03-27 10:38:34.068437"
954,"Azure-Samples/ms-identity-nodejs-webapi-onbehalfof-azurefunctions",27,880,398,7979,7264,296,269,6,86,NULL,3,6,4,4,1,376,239,6,0,1,1,6,0,5,0,0,0,0,17,44,3777,0,1,2,257,0,2,880,0,3,0,13,0,25893,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,13,1,1,0,0,0,0,0,0,0,"2022-03-27 10:38:43.560572","2022-03-27 10:38:43.560572"
955,"janetriley/whoi-swc-workshop",504,2404,2397,6922,354,14,1,4,46,NULL,168,496,33,3,1,4,0,2,0,2,1,4,0,0,0,0,0,0,17,25,6,0,4,4,625,0,32,2404,0,1,0,0,0,148,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,"2022-03-27 10:40:49.754342","2022-03-27 10:40:49.754342"
956,"MicrosoftDocs/office-developer-client-docs.de-DE",692,1385,2,1842773,904548,2663,1307,93,26,NULL,5,40,0,0,0,0,0,4,0,1,2,2,2,0,0,0,0,1,1572,123,14,0,2,2,85883,0,7,1385,0,1,0,2,0,709,4,2,13,11,6,5,0,1,0,1,14,123,1,0,0,1,2,0,0,0,0,0,0,0,0,NULL,2,1,1,0,0,0,0,0,0,0,"2022-03-27 10:46:50.712216","2022-03-27 10:46:50.712216"
